Transaction,Items
T1,"Antibiotic Cream, Nasal Spray, Bandages, Glucose Tablets, Hand Sanitizer"
T2,Nasal Spray
T3,Nasal Spray
T4,"Antibiotic Cream, Glucose Tablets, Ibuprofen, Multivitamins, Allergy Pills"
T5,Inhaler
T6,"Disinfectant, Inhaler, Bandages, Thermometer, Vitamin C, Aspirin"
T7,"Cough Syrup, Antacid, Allergy Pills"
T8,"Nasal Spray, Inhaler, Glucose Tablets"
T9,"Bandages, Allergy Pills, Hand Sanitizer, Ibuprofen, Vitamin C, Glucose Tablets"
T10,"Disinfectant, Inhaler, Paracetamol, Antibiotic Cream"
T11,"Pain Relief Gel, Ibuprofen, Multivitamins, Bandages"
T12,"Bandages, Multivitamins, Pain Relief Gel"
T13,"Allergy Pills, Bandages, Multivitamins, Inhaler, Ibuprofen, Face Mask"
T14,Multivitamins
T15,"Inhaler, Disinfectant, Cough Syrup, Ibuprofen, Hand Sanitizer"
T16,Inhaler
T17,"Eye Drops, Pain Relief Gel, Inhaler, Cough Syrup, Nasal Spray"
T18,"Pain Relief Gel, Hand Sanitizer, Allergy Pills, Glucose Tablets"
T19,Nasal Spray
T20,"Multivitamins, Antacid"
T21,"Eye Drops, Hand Sanitizer, Antibiotic Cream, Multivitamins, Bandages"
T22,"Bandages, Cough Syrup"
T23,"Hand Sanitizer, Bandages, Nasal Spray, Multivitamins, First Aid Kit, Inhaler"
T24,"Glucose Tablets, Nasal Spray"
T25,"Antacid, Pain Relief Gel, Disinfectant, Ibuprofen, Nasal Spray"
T26,Glucose Tablets
T27,"Ibuprofen, Bandages, Thermometer, Antacid, Paracetamol, Cough Syrup"
T28,"Multivitamins, Nasal Spray, First Aid Kit"
T29,"Eye Drops, Glucose Tablets, Ibuprofen, Pain Relief Gel, Antibiotic Cream"
T30,"Antacid, Paracetamol, Hand Sanitizer"
T31,"Antacid, Glucose Tablets, Eye Drops, Bandages, Disinfectant"
T32,"First Aid Kit, Disinfectant, Allergy Pills, Inhaler, Aspirin"
T33,"Face Mask, Allergy Pills, Cough Syrup, Hand Sanitizer, First Aid Kit"
T34,"Disinfectant, Glucose Tablets, Aspirin, Antibiotic Cream"
T35,"Bandages, Multivitamins, Thermometer"
T36,"Glucose Tablets, Eye Drops, Nasal Spray, Pain Relief Gel"
T37,"Allergy Pills, Antibiotic Cream, Inhaler, Eye Drops, Bandages"